user_id,kind,photo_id,width,height,source_url,reason,file_path
47693986,previous_avatar,262672531,75,55,https://sun9-69.userapi.com/c5441/u47693986/136371536/s_fd2fadc4.jpg,smaller_than_241,vk_user_photos/47693986/previous_avatar.jpg
182226866,avatar,331474740,74,75,https://sun9-73.userapi.com/c10272/u10653558/147831975/s_f2a7615c.jpg,smaller_than_241,vk_user_photos/182226866/avatar.jpg
267955147,avatar,456239018,225,225,"https://sun9-60.userapi.com/s/v1/ig1/sPyf5P73r22LvTXHyLbXDos7rKebdGXX7VaxjRRQUor44zZNaOXZTFk2ziD5whaGMhZdD22y.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,225x225&from=bu&cs=225x0",smaller_than_241,vk_user_photos/267955147/avatar.jpg
