user_id,kind,photo_id,source_url,file_path,width,height,bytes
461042956,previous_avatar,457254054,"https://sun9-62.userapi.com/s/v1/ig1/hiUNnhSxQM0_ej2umwk62BCTcBIpQil677B2hUvGom-Qr5YvOQT4U8gw3j3wZhg3tT-ExM4y.jpg?quality=96&as=32x50,48x75,72x113,108x170,160x251,240x377,360x566,480x754,540x848,564x886&from=bu&cs=564x0",vk_user_photos/461042956/previous_avatar.jpg,564,886,123863
462103263,avatar,456240020,"https://sun9-41.userapi.com/s/v1/ig1/dfH_bGj9AbhRqOkTvpYTVBh4r8GlfkDMSLHoPn8Hz6lm9BBkzjSXEtY-Vo5BcU7uLp6--rsA.jpg?quality=96&as=32x57,48x85,72x128,108x192,160x284,240x427,360x640,459x816&from=bu&cs=459x0",vk_user_photos/462103263/avatar.jpg,459,816,130547
462103263,previous_avatar,456240017,"https://sun9-56.userapi.com/s/v1/ig1/qKm9bkIszoDh21e6kinG2factTjmEJ0FbVWJUoch9dErrtvHo1buMRaG5r1wGOI81QUEw2fc.jpg?quality=96&as=32x64,48x96,72x144,108x216,160x320,240x480,360x720,480x960,540x1080&from=bu&cs=540x0",vk_user_photos/462103263/previous_avatar.jpg,540,1080,111216
465457465,avatar,456239017,"https://sun9-85.userapi.com/s/v1/ig2/2l9V0M1sspHZIWsWp8B2vNYeRuznydxZGp6mHkWgzNAtUE6vVE4mszw5wOnkiXqRna5GIAQBLutgLw-BphMBd-vE.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,600x800&from=bu&cs=600x0",vk_user_photos/465457465/avatar.jpg,600,800,43713
466264616,avatar,457240079,"https://sun9-16.userapi.com/s/v1/ig2/-cUN-LiZpME_wXXztojEZyXgBBMb3x-P8SHonDuChKk_r0VyfaNAuensjZCAi2VxWtG1L1MHwNEx6bTHD5t5Y21G.jpg?quality=95&as=32x48,48x71,72x107,108x160,160x238,240x356,360x535,480x713,540x802,640x951,720x1069,1080x1604,1251x1858&from=bu&cs=1251x0",vk_user_photos/466264616/avatar.jpg,1251,1858,1004387
466264616,previous_avatar,457240038,"https://sun9-39.userapi.com/s/v1/ig2/FzWCSLLQkvfFs8r31zFPvkozwh_ipPQC-I_KEKcZh32YykL5MiX6Kt2k6XUhQXZTTwGQe-EPL6Of_RWgfIS3SEUS.jpg?quality=95&as=32x47,48x70,72x105,108x157,160x233,240x349,360x524,480x698,540x785,640x931,720x1047,880x1280&from=bu&cs=880x0",vk_user_photos/466264616/previous_avatar.jpg,880,1280,252478
466650143,avatar,457263753,"https://sun9-55.userapi.com/s/v1/ig2/p07sWIXdy9iXFLejj91uW4pevDJrxWuxr7PRIx_FvmDZth7czvSZVzgxt4jZsjkTntBPNdWnZHnB2sxfP7HUuamw.jpg?quality=96&as=32x38,48x58,72x86,108x130,160x192,240x288,360x432,480x576,540x648,640x768,720x864,1080x1296,1200x1440&from=bu&cs=1200x0",vk_user_photos/466650143/avatar.jpg,1200,1440,414227
466650143,previous_avatar,457263613,"https://sun9-33.userapi.com/s/v1/ig2/bohnXF638f4l9QBsV4geDxUulKygX29xF7HQol58RXSrCWgwSL-JJQdrZkzIJmej3GF0TU7-eFAohLTuOE0UZLYn.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1200x1200&from=bu&cs=1200x0",vk_user_photos/466650143/previous_avatar.jpg,1200,1200,211116
467427555,avatar,457250965,"https://sun9-50.userapi.com/s/v1/ig2/OwbZk9FpHvaIyKtlCo3hH51CLtrYlqQeLXzhC9VJxbH-KPBGDV0Dz5ypFHJX1rERfgz5UxTJpCw7LO1cDIQOD1m4.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,401x401&from=bu&cs=401x0",vk_user_photos/467427555/avatar.jpg,401,401,56606
467427555,previous_avatar,457250593,"https://sun9-48.userapi.com/s/v1/ig2/YsewJBm6l3Gr22Csdk0A4gFITrsw64D1mYB0NIf-pkccqCcCWJU2I7cqJXY9dkf_5GXT7eeo5RVYPCXgIH_pAcbv.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1078x1078&from=bu&cs=1078x0",vk_user_photos/467427555/previous_avatar.jpg,1078,1078,268219
