id,in_users,in_profiles,in_catalog_users,users_count,profiles_count,catalog_users_count
154112909,no,yes,yes,0,1,1
154329115,no,yes,yes,0,1,1
154577625,no,yes,yes,0,1,1
155419807,no,yes,yes,0,1,1
155990526,no,yes,yes,0,1,1
156706708,no,yes,yes,0,2,2
156970157,no,yes,yes,0,1,1
157352670,no,yes,yes,0,1,1
158461227,no,yes,yes,0,1,1
159968630,no,yes,yes,0,2,2
161555653,no,yes,yes,0,2,2
163882387,no,yes,yes,0,2,2
164048103,no,yes,yes,0,1,1
166870400,no,yes,yes,0,1,1
168240617,no,yes,yes,0,1,1
169902419,no,yes,yes,0,1,1
170023005,no,yes,yes,0,1,1
170196960,no,yes,yes,0,1,1
171310284,no,yes,yes,0,1,1
172373132,no,yes,yes,0,2,2
172897310,no,yes,yes,0,1,1
173364548,no,yes,yes,0,1,1
174282649,no,yes,yes,0,1,1
174300472,no,yes,yes,0,1,1
176036214,no,yes,yes,0,1,1
177038510,no,yes,yes,0,1,1
178870268,no,yes,yes,0,1,1
179506947,no,yes,yes,0,1,1
179817490,no,yes,yes,0,1,1
179941894,no,yes,yes,0,2,2
180073068,no,yes,yes,0,1,1
181310225,no,yes,yes,0,1,1
181358896,no,yes,yes,0,1,1
182226866,no,yes,yes,0,1,1
183286554,no,yes,yes,0,1,1
184680549,no,yes,yes,0,1,1
184826239,no,yes,yes,0,1,1
185818836,no,yes,yes,0,2,2
186415569,no,yes,yes,0,2,2
187299525,no,yes,yes,0,1,1
188983861,no,yes,yes,0,1,1
189333078,no,yes,yes,0,1,1
190505211,no,yes,yes,0,1,1
192124592,no,yes,yes,0,1,1
192847494,no,yes,yes,0,1,1
193898856,no,yes,yes,0,1,1
194659227,no,yes,yes,0,1,1
194680003,no,yes,yes,0,1,1
194756395,no,yes,yes,0,1,1
195004550,no,yes,yes,0,1,1
195055897,no,yes,yes,0,2,2
195518472,no,yes,yes,0,2,2
195901987,no,yes,yes,0,2,2
